Nested Sampling Global Log-Evidence           :   -0.579294123033295546E+04  +/-    0.243426913332604938E+00
Nested Importance Sampling Global Log-Evidence:   -0.579318445626045650E+04  +/-    0.168645721513891178E-01

Dim No.       Mean        Sigma
   1    0.218884757427150085E-01    0.207304700031219467E-03
   2    0.125619904894127360E+00    0.180882223831109338E-02
   3    0.653767364266785167E+00    0.771888732772541258E-02
   4    0.581286961252920273E-01    0.168701453933894664E-01
   5    0.954743341262916823E+00    0.534532944720356520E-02
   6    0.306359697293506628E+01    0.326023106959889841E-01
   7    0.100014038139650685E+01    0.228817179004844364E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.219081188747363535E-01
   2    0.125687564586964340E+00
   3    0.653123676881794069E+00
   4    0.604117737018446677E-01
   5    0.954716500124020651E+00
   6    0.307517208616330073E+01
   7    0.100352454959795190E+01

MAP Parameters
Dim No.        Parameter
   1    0.219081188747363535E-01
   2    0.125687564586964340E+00
   3    0.653123676881794069E+00
   4    0.604117737018446677E-01
   5    0.954716500124020651E+00
   6    0.307517208616330073E+01
   7    0.100352454959795190E+01
