Nested Sampling Global Log-Evidence           :   -0.539940168085402274E+04  +/-    0.256154812213182204E+00
Nested Importance Sampling Global Log-Evidence:   -0.540057498790111822E+04  +/-    0.261107728928930916E+00

Dim No.       Mean        Sigma
   1    0.222688773505211740E-01    0.393276047095927276E-03
   2    0.119988538625990848E+00    0.358423142366787184E-02
   3    0.667471736353875134E+00    0.359941140355335004E-01
   4    0.937438182031635620E-01    0.199225478450648641E-01
   5    0.306348820730892824E+01    0.296639414086469322E+00
   6    0.156959597391533562E+00    0.196100786740540933E+00
   7    0.349675024070446305E+01    0.154959458762237934E+00
   8    0.301431735803978285E+01    0.883759933160303823E-01
   9    0.100061541465929715E+01    0.235145188274749062E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224390338174466908E-01
   2    0.121013197346810999E+00
   3    0.695083136006910518E+00
   4    0.927833340817772606E-01
   5    0.322804181350896879E+01
   6    0.142441359329279378E-01
   7    0.339566389899666721E+01
   8    0.303974388628268866E+01
   9    0.998192303328515385E+00

MAP Parameters
Dim No.        Parameter
   1    0.224390338174466908E-01
   2    0.121013197346810999E+00
   3    0.695083136006910518E+00
   4    0.927833340817772606E-01
   5    0.322804181350896879E+01
   6    0.142441359329279378E-01
   7    0.339566389899666721E+01
   8    0.303974388628268866E+01
   9    0.998192303328515385E+00
