Nested Sampling Global Log-Evidence           :   -0.539855015026265846E+04  +/-    0.256270407379396437E+00
Nested Importance Sampling Global Log-Evidence:   -0.539901674705751248E+04  +/-    0.310283704016843971E-01

Dim No.       Mean        Sigma
   1    0.225807641739017954E-01    0.203155091981571450E-03
   2    0.121414503861840994E+00    0.329238854939762141E-02
   3    0.698340910988901831E+00    0.979879057779660737E-02
   4    0.937394031487436691E-01    0.146791884949870593E-01
   5    0.979702442118069450E+00    0.692487764909021936E-02
   6    0.312685658059159755E+01    0.291147136769045953E-01
   7    0.329953456516735733E+01    0.179846470299864170E+00
   8    0.773382480144919615E-01    0.708878708827945792E-01
   9    0.100054683583250337E+01    0.230492842335406180E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.225134930643006922E-01
   2    0.120946031577596064E+00
   3    0.698601636640674983E+00
   4    0.761875208909491841E-01
   5    0.975705641686048675E+00
   6    0.310072389740263876E+01
   7    0.325411199334148327E+01
   8    0.355541084754665421E-01
   9    0.100496914524906122E+01

MAP Parameters
Dim No.        Parameter
   1    0.225134930643006922E-01
   2    0.120946031577596064E+00
   3    0.698601636640674983E+00
   4    0.761875208909491841E-01
   5    0.975705641686048675E+00
   6    0.310072389740263876E+01
   7    0.325411199334148327E+01
   8    0.355541084754665421E-01
   9    0.100496914524906122E+01
