Nested Sampling Global Log-Evidence           :   -0.537344284739703107E+04  +/-    0.250966415650435704E+00
Nested Importance Sampling Global Log-Evidence:   -0.537423702793842222E+04  +/-    0.427847803945902272E+00

Dim No.       Mean        Sigma
   1    0.222004469177085328E-01    0.405482775817058469E-03
   2    0.120035464965204855E+00    0.400987611556773756E-02
   3    0.660688306781940682E+00    0.356030376465042778E-01
   4    0.828441810581456578E-01    0.212775020753273834E-01
   5    0.964387750400344634E+00    0.168392532469610334E-01
   6    0.309937827463291837E+01    0.462093587939572809E-01
   7    0.305882236247576289E+01    0.319695593990433125E+00
   8    0.220007259360401136E+00    0.191843769112974988E+00
   9    0.100027204446442530E+01    0.236127384743353621E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221953805131545993E-01
   2    0.118872623972921240E+00
   3    0.669553888882304493E+00
   4    0.718232792465608172E-01
   5    0.964321704286379644E+00
   6    0.307849554066308428E+01
   7    0.296363638519180661E+01
   8    0.277228489383429880E-01
   9    0.100207376881803789E+01

MAP Parameters
Dim No.        Parameter
   1    0.221953805131545993E-01
   2    0.118872623972921240E+00
   3    0.669553888882304493E+00
   4    0.718232792465608172E-01
   5    0.964321704286379644E+00
   6    0.307849554066308428E+01
   7    0.296363638519180661E+01
   8    0.277228489383429880E-01
   9    0.100207376881803789E+01
