Nested Sampling Global Log-Evidence           :   -0.537350839614351025E+04  +/-    0.244904140782266133E+00
Nested Importance Sampling Global Log-Evidence:   -0.537408626099163484E+04  +/-    0.144525830138731454E-01

Dim No.       Mean        Sigma
   1    0.219921969526633010E-01    0.376821300362262951E-03
   2    0.120137513147407823E+00    0.390625992171439538E-02
   3    0.628713402909103380E+00    0.272496365358573939E-01
   4    0.827286094311955739E-01    0.221918003733985597E-01
   5    0.956440968875195474E+00    0.157149369933644242E-01
   6    0.309762630743671563E+01    0.476260329073711491E-01
   7    0.299148583130243262E+01    0.304276077340612905E+00
   8    0.100026519822910398E+01    0.237651148240281343E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.219207256685018878E-01
   2    0.121056966705682334E+00
   3    0.630481238119442677E+00
   4    0.709552500846166168E-01
   5    0.957157667133927248E+00
   6    0.308553882375582766E+01
   7    0.304264714497574573E+01
   8    0.100421369333141874E+01

MAP Parameters
Dim No.        Parameter
   1    0.219207256685018878E-01
   2    0.121056966705682334E+00
   3    0.630481238119442677E+00
   4    0.709552500846166168E-01
   5    0.957157667133927248E+00
   6    0.308553882375582766E+01
   7    0.304264714497574573E+01
   8    0.100421369333141874E+01
