Nested Sampling Global Log-Evidence           :   -0.537459494193098544E+04  +/-    0.251562493479476512E+00
Nested Importance Sampling Global Log-Evidence:   -0.537613722294997751E+04  +/-    0.134431177229310198E-01

Dim No.       Mean        Sigma
   1    0.224771581228993891E-01    0.249932462163231911E-03
   2    0.120603871641977015E+00    0.387509186109477599E-02
   3    0.691561819971121094E+00    0.152270235311125005E-01
   4    0.880875868880783286E-01    0.167399403309460675E-01
   5    0.976695970813736825E+00    0.961665242002658800E-02
   6    0.311304353817060653E+01    0.359244393306788617E-01
   7    0.323156568485507245E+01    0.244591895847810131E+00
   8    0.885216834379747158E-01    0.749782557281634121E-01
   9    0.100047123110637726E+01    0.233219440047269331E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.222995280533638124E-01
   2    0.118716458098708372E+00
   3    0.687237480620610741E+00
   4    0.831038832665831340E-01
   5    0.971190431778317875E+00
   6    0.309462696241192514E+01
   7    0.308778426454298849E+01
   8    0.648080723972503398E-02
   9    0.998631768173503409E+00

MAP Parameters
Dim No.        Parameter
   1    0.222995280533638124E-01
   2    0.118716458098708372E+00
   3    0.687237480620610741E+00
   4    0.831038832665831340E-01
   5    0.971190431778317875E+00
   6    0.309462696241192514E+01
   7    0.308778426454298849E+01
   8    0.648080723972503398E-02
   9    0.998631768173503409E+00
