Nested Sampling Global Log-Evidence           :   -0.536997632439101562E+04  +/-    0.236732308743004771E+00
Nested Importance Sampling Global Log-Evidence:   -0.537059662853444752E+04  +/-    0.144722921459068676E-01

Dim No.       Mean        Sigma
   1    0.222864748130292452E-01    0.230822799020299354E-03
   2    0.119377989328072226E+00    0.221527337720213305E-02
   3    0.680861998901347021E+00    0.100457232948103527E-01
   4    0.790203434543102212E-01    0.190727781461774368E-01
   5    0.966818756265521939E+00    0.623703490714145378E-02
   6    0.309136536062762524E+01    0.364906326761926594E-01
   7    0.100020564940254131E+01    0.231728246794073514E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.223234383482950015E-01
   2    0.118874817810575586E+00
   3    0.683574892223887010E+00
   4    0.789249874925641859E-01
   5    0.967094502523361155E+00
   6    0.308933325491164013E+01
   7    0.999740986006022792E+00

MAP Parameters
Dim No.        Parameter
   1    0.223234383482950015E-01
   2    0.118874817810575586E+00
   3    0.683574892223887010E+00
   4    0.789249874925641859E-01
   5    0.967094502523361155E+00
   6    0.308933325491164013E+01
   7    0.999740986006022792E+00
