Nested Sampling Global Log-Evidence           :   -0.537224890528191463E+04  +/-    0.243696620921573959E+00
Nested Importance Sampling Global Log-Evidence:   -0.537292278742031885E+04  +/-    0.154887240566766518E-01

Dim No.       Mean        Sigma
   1    0.223472802874201300E-01    0.200008219106205103E-03
   2    0.118525400935908659E+00    0.128796251111560072E-02
   3    0.684722237031643366E+00    0.584874180537597790E-02
   4    0.824214460779036096E-01    0.177341522659569990E-01
   5    0.968750568479045726E+00    0.444633788289263820E-02
   6    0.309657019370804232E+01    0.348144398756541837E-01
   7    0.100034229942381780E+01    0.224783153579891396E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224224789119082842E-01
   2    0.118681455792682022E+00
   3    0.685173329936502928E+00
   4    0.860765288590789185E-01
   5    0.969492329673945274E+00
   6    0.310767959619881751E+01
   7    0.100195003177858322E+01

MAP Parameters
Dim No.        Parameter
   1    0.224224789119082842E-01
   2    0.118681455792682022E+00
   3    0.685173329936502928E+00
   4    0.860765288590789185E-01
   5    0.969492329673945274E+00
   6    0.310767959619881751E+01
   7    0.100195003177858322E+01
