Nested Sampling Global Log-Evidence           :   -0.540858109940327267E+04  +/-    0.228183025518725074E+00
Nested Importance Sampling Global Log-Evidence:   -0.540491711374269926E+04  +/-    0.958864027702304167E+00

Dim No.       Mean        Sigma
   1    0.214517814741722636E-01    0.662036384029156852E-04
   2    0.129582384721136423E+00    0.179136198189160665E-02
   3    0.634743687417490765E+00    0.446123095642674862E-02
   4    0.949937256760291088E-01    0.353662782799028016E-02
   5    0.324755712330686430E+01    0.797142781065332123E-01
   6    0.258571823617459118E+00    0.457691381724269347E-01
   7    0.356940207950594024E+01    0.194685612742112810E-01
   8    0.302942352963528672E+01    0.174035109313098145E-01
   9    0.100335312656677966E+01    0.590488233780949801E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.214458746916955968E-01
   2    0.129739090054103057E+00
   3    0.634954982359004050E+00
   4    0.953124722245645012E-01
   5    0.325269430755257938E+01
   6    0.254275800958922438E+00
   7    0.357021938359956570E+01
   8    0.303075834724814230E+01
   9    0.100341754465298183E+01

MAP Parameters
Dim No.        Parameter
   1    0.214458746916955968E-01
   2    0.129739090054103057E+00
   3    0.634954982359004050E+00
   4    0.953124722245645012E-01
   5    0.325269430755257938E+01
   6    0.254275800958922438E+00
   7    0.357021938359956570E+01
   8    0.303075834724814230E+01
   9    0.100341754465298183E+01
