Nested Sampling Global Log-Evidence           :   -0.537301721766643459E+04  +/-    0.248259445575714444E+00
Nested Importance Sampling Global Log-Evidence:   -0.536637297413486158E+04  +/-    0.113415570629417609E+00

Dim No.       Mean        Sigma
   1    0.225073661779627253E-01    0.225706143512046563E-03
   2    0.118489870059953956E+00    0.207373476054203195E-02
   3    0.686306440249130789E+00    0.943671906468894657E-02
   4    0.901295828340486910E-01    0.199351142685516326E-01
   5   -0.869089152023673606E+01    0.383818771838857531E+01
   6    0.135839578316986165E+01    0.177524213627433358E+01
   7    0.326507908188622853E+01    0.110233031332984260E+00
   8    0.282657678190784711E+01    0.780050801811655981E+00
   9    0.100036771549057057E+01    0.234479751158042865E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.223150370017501203E-01
   2    0.118210321385367231E+00
   3    0.685124922322067009E+00
   4    0.801041823238752143E-01
   5   -0.185341304311119970E+01
   6    0.343410394448294287E+01
   7    0.306036283904368922E+01
   8    0.220640799675566246E+01
   9    0.100304441773758612E+01

MAP Parameters
Dim No.        Parameter
   1    0.223150370017501203E-01
   2    0.118210321385367231E+00
   3    0.685124922322067009E+00
   4    0.801041823238752143E-01
   5   -0.185341304311119970E+01
   6    0.343410394448294287E+01
   7    0.306036283904368922E+01
   8    0.220640799675566246E+01
   9    0.100304441773758612E+01
