Nested Sampling Global Log-Evidence           :   -0.537175455397201949E+04  +/-    0.240334901275229412E+00
Nested Importance Sampling Global Log-Evidence:   -0.537241786845712431E+04  +/-    0.156198379813954347E-01

Dim No.       Mean        Sigma
   1    0.223403855831106092E-01    0.198152511673504425E-03
   2    0.118576318177514017E+00    0.127119485312377758E-02
   3    0.684438416987286025E+00    0.577783968244429194E-02
   4    0.818800715189561268E-01    0.175536057868093016E-01
   5    0.968605809156775965E+00    0.438616781001652852E-02
   6    0.309558411009880841E+01    0.348138915391952020E-01
   7    0.100033787190487833E+01    0.233429319635228673E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224257143784065346E-01
   2    0.118045282661702139E+00
   3    0.687676596404960039E+00
   4    0.753683070549881623E-01
   5    0.969386902306106801E+00
   6    0.308855528736347118E+01
   7    0.100384075330027422E+01

MAP Parameters
Dim No.        Parameter
   1    0.224257143784065346E-01
   2    0.118045282661702139E+00
   3    0.687676596404960039E+00
   4    0.753683070549881623E-01
   5    0.969386902306106801E+00
   6    0.308855528736347118E+01
   7    0.100384075330027422E+01
