Nested Sampling Global Log-Evidence           :   -0.579399130497339684E+04  +/-    0.249804269772701371E+00
Nested Importance Sampling Global Log-Evidence:   -0.579501829680164974E+04  +/-    0.170556295827434673E-01

Dim No.       Mean        Sigma
   1    0.220978341937508316E-01    0.335636834727249069E-03
   2    0.128781992316207378E+00    0.384984767821465283E-02
   3    0.665563681796134787E+00    0.257746929967989299E-01
   4    0.702574152002255758E-01    0.168795332097396306E-01
   5    0.966008095947499146E+00    0.141090133596850787E-01
   6    0.309496112529792011E+01    0.367875786224943421E-01
   7    0.331377989608002244E+01    0.297792123506430417E+00
   8    0.103995732391435891E+00    0.640715420911174560E-01
   9    0.100015547991406883E+01    0.231414615320766444E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.220444963250399396E-01
   2    0.127735823108827196E+00
   3    0.659244622738639929E+00
   4    0.705341337192270795E-01
   5    0.962569970501878425E+00
   6    0.309211473760004818E+01
   7    0.322475813446751225E+01
   8    0.914783177746263665E-01
   9    0.999797463748232307E+00

MAP Parameters
Dim No.        Parameter
   1    0.220444963250399396E-01
   2    0.127735823108827196E+00
   3    0.659244622738639929E+00
   4    0.705341337192270795E-01
   5    0.962569970501878425E+00
   6    0.309211473760004818E+01
   7    0.322475813446751225E+01
   8    0.914783177746263665E-01
   9    0.999797463748232307E+00
