Nested Sampling Global Log-Evidence           :   -0.579467857513624676E+04  +/-    0.255789752028036388E+00
Nested Importance Sampling Global Log-Evidence:   -0.579597228729449034E+04  +/-    0.133337593450372979E-01

Dim No.       Mean        Sigma
   1    0.218441203966963267E-01    0.204385233511632166E-03
   2    0.125842478817296211E+00    0.181116914042841180E-02
   3    0.643999414360431843E+00    0.998474351934275882E-02
   4    0.606964957988832543E-01    0.171816169719678051E-01
   5    0.954095529409682674E+00    0.539127439414332794E-02
   6    0.306880822441728096E+01    0.332693643754523594E-01
   7    0.103125293806665852E+00    0.641074329655535735E-01
   8    0.100008684366932865E+01    0.230964390141041951E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218789794977500632E-01
   2    0.124973487165023975E+00
   3    0.649170934320046800E+00
   4    0.556574768084312915E-01
   5    0.955858032268304680E+00
   6    0.306826240289708529E+01
   7    0.768329685824484659E-01
   8    0.100601052604756669E+01

MAP Parameters
Dim No.        Parameter
   1    0.218789794977500632E-01
   2    0.124973487165023975E+00
   3    0.649170934320046800E+00
   4    0.556574768084312915E-01
   5    0.955858032268304680E+00
   6    0.306826240289708529E+01
   7    0.768329685824484659E-01
   8    0.100601052604756669E+01
