Nested Sampling Global Log-Evidence           :   -0.537683747633686016E+04  +/-    0.222197197707967697E+00
Nested Importance Sampling Global Log-Evidence:   -0.537504026622066431E+04  +/-    0.554032916487641747E+00

Dim No.       Mean        Sigma
   1    0.229579053323544224E-01    0.349114233860869992E-03
   2    0.117590338113907567E+00    0.538656302684624270E-02
   3    0.712962214893640200E+00    0.164936353240596120E-01
   4    0.806499930167499657E-01    0.198298207873989045E-01
   5    0.983310825308090775E+00    0.904347079932396256E-02
   6    0.308941941722872837E+01    0.436991092406228479E-01
   7    0.322467012442991452E+01    0.274980714742427412E+00
   8    0.999541935812521931E+00    0.106788790199102311E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.231363054422018925E-01
   2    0.114792598960945555E+00
   3    0.712836625308327254E+00
   4    0.824420227120071236E-01
   5    0.980732229559537760E+00
   6    0.308746389948287936E+01
   7    0.312580979302277129E+01
   8    0.999474291743746579E+00

MAP Parameters
Dim No.        Parameter
   1    0.231363054422018925E-01
   2    0.114792598960945555E+00
   3    0.712836625308327254E+00
   4    0.824420227120071236E-01
   5    0.980732229559537760E+00
   6    0.308746389948287936E+01
   7    0.312580979302277129E+01
   8    0.999474291743746579E+00
